id,platform,title,content,tickers,submitted_at,keywords
108,CNN Business,Here we go again. Why oil keeps tumbling even when the Iran war drags onSound familiar? A pause in fighting between the United States and Iran has given oil traders hope that a diplomatic resolution could restart the flow of oil traffic out of the Middle East.,"",{},2026-08-06 00:53:19.909658,"{oil,iran,here,again,why,keeps,tumbling,even,when,war}"
109,CNN Business,"I was kicked off my family phone plan. You could be nextAug 1, 2026","",{2026},2026-08-06 00:53:19.909658,"{kicked,off,family,phone,plan,you,could,nextaug}"
110,CNN Business,"Mortgage rates climb to highest level in a yearJul 30, 2026","",{2026},2026-08-06 00:53:19.909658,"{mortgage,rates,climb,highest,level,yearjul}"
111,CNN Business,"The S&P 500 is back at a record high and the Dow just hit 54,000Aug 4, 2026","",{2026},2026-08-06 00:53:19.909658,"{back,record,high,dow,just,hit,aug}"
112,CNN Business,The war with Iran has become a battle about a tollbooth. Free seas are at riskBy Hanna Ziady and David Goldman,"",{},2026-08-06 00:53:19.909658,"{war,iran,become,battle,about,tollbooth,free,seas,riskby,hanna}"
113,CNN Business,"Exxon made $160 million per day last quarter as oil prices surgedJul 31, 2026ExxonMobil and Chevron, the two biggest US oil companies, reported gangbusters profits driven by the spike in global oil prices unleashed by the US-Iran war.","",{},2026-08-06 00:53:19.909658,"{oil,prices,exxon,made,million,per,day,last,quarter,surgedjul}"
114,CNN Business,"Quills and conflict: How protection in the Strait of Hormuz is bought and soldJul 10, 2026Inside a futuristic building in central London, leather-bound tomes contain quill-and-ink records of vessels lost at sea over the past 250 years.","",{},2026-08-06 00:53:19.909658,"{quills,conflict,how,protection,strait,hormuz,bought,soldjul,inside,futuristic}"
115,CNN Business,"Trump is playing with economic fire by calling the peace deal with Iran ‘over’Jul 8, 2026Three weeks of fragile peace bought President Donald Trump some time and leverage over Iran. But not too much.","",{},2026-08-06 00:53:19.909658,"{trump,peace,iran,over,playing,economic,fire,calling,deal,jul}"
116,CNN Business,I’ve spent years studying economic data. These Americans taught me what ‘affordability’ really meansBy Phil Mattingly,"",{},2026-08-06 00:53:19.909658,"{spent,years,studying,economic,data,these,americans,taught,what,affordability}"
117,CNN Business,"AI is making your life more expensive. Here’s howJul 28, 2026AI is raising prices for Americans – and not just electricity bills.","",{},2026-08-06 00:53:19.909658,"{making,your,life,more,expensive,here,howjul,raising,prices,americans}"
118,CNN Business,"A new law limits mega-investor home purchases. Will that make homes cheaper for Americans?Jul 12, 2026After years of backlash against Wall Street landlords, the federal government is taking its first step to limit large investors’ ownership of single-family homes.","",{},2026-08-06 00:53:19.909658,"{homes,new,law,limits,mega,investor,home,purchases,will,make}"
119,CNN Business,Courtesy Seattle Social Housing Developer,"",{},2026-08-06 00:53:19.909658,"{courtesy,seattle,social,housing,developer}"
120,CNN Business,"Seattle’s solution for the middle-class housing squeeze: government housingJul 1, 2026The eight-story, 150-unit Elara at the Market looks like just another sleek apartment building in Seattle’s trendy Belltown neighborhood.","",{},2026-08-06 00:53:19.909658,"{seattle,solution,middle,class,housing,squeeze,government,housingjul,eight,story}"
121,CNN Business,Analysis: David Ellison says he won’t bend CNN to his views,"",{},2026-08-06 00:53:19.909658,"{analysis,david,ellison,says,won,bend,cnn,his,views}"
122,CNN Business,McDonald’s sales in the US are slowing after deal fatigue,"",{},2026-08-06 00:53:19.909658,"{mcdonald,sales,slowing,after,deal,fatigue}"
123,CNN Business,America’s labor market is beginning to find its footing again,"",{},2026-08-06 00:53:19.909658,"{america,labor,market,beginning,find,footing,again}"
